DocType: Accounting Period,Period Name,期间名称
DocType: Employee,Salary Mode,工资发放方式
apps/erpnext/erpnext/public/js/hub/marketplace.js +109,Register,注册
DocType: Patient,Divorced,离异
DocType: Support Settings,Post Route Key,邮政路线密钥
DocType: Buying Settings,Allow Item to be added multiple times in a transaction,允许一个交易中存在相同物料
apps/erpnext/erpnext/support/doctype/warranty_claim/warranty_claim.py +33,Cancel Material Visit {0} before cancelling this Warranty Claim,取消此保修申请之前请先取消维护巡修{0}
apps/erpnext/erpnext/config/education.py +118,Assessment Reports,评估报表
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +19,Consumer Products,消费类产品
DocType: Supplier Scorecard,Notify Supplier,通知供应商
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.js +52,Please select Party Type first,请先选择往来单位
DocType: Item,Customer Items,客户物料
DocType: Project,Costing and Billing,成本核算和结算
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py +43,Advance account currency should be same as company currency {0},预付科目货币应与公司货币{0}相同
apps/erpnext/erpnext/accounts/doctype/account/account.py +50,Account {0}: Parent account {1} can not be a ledger,科目{0}：父(上级)科目{1}不能是记帐科目
DocType: Item,Publish Item to hub.erpnext.com,发布物料到网站hub.erpnext.com
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +271,Cannot find active Leave Period,找不到有效的休假期间
apps/erpnext/erpnext/hr/doctype/employee/employee_dashboard.py +22,Evaluation,评估
DocType: Item,Default Unit of Measure,默认单位
DocType: SMS Center,All Sales Partner Contact,所有销售合作伙伴
DocType: Department,Leave Approvers,休假审批人
DocType: Employee,Bio / Cover Letter,履历/求职信
DocType: Patient Encounter,Investigations,调查
DocType: Restaurant Order Entry,Click Enter To Add,按回车键添加
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/shopify_settings.py +29,"Missing value for Password, API Key or Shopify URL",缺少密码，API密钥或Shopify网址的值
DocType: Employee,Rented,租
apps/erpnext/erpnext/public/js/setup_wizard.js +231,All Accounts,所有科目
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py +15,Cannot transfer Employee with status Left,状态为已离职的员工不能进行调动
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +216,"Stopped Production Order cannot be cancelled, Unstop it first to cancel",停止生产订单无法取消，首先Unstop它取消
DocType: Vehicle Service,Mileage,里程
apps/erpnext/erpnext/assets/doctype/asset/asset.js +317,Do you really want to scrap this asset?,真要报废该资产？
DocType: Drug Prescription,Update Schedule,更新时间排程
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js +44,Select Default Supplier,选择默认供应商
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.js +26,Show Employee,显示员工
DocType: Exchange Rate Revaluation Account,New Exchange Rate,新汇率
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +37,Currency is required for Price List {0},请为价格表{0}指定货币
DocType: Sales Taxes and Charges Template,* Will be calculated in the transaction.,*将被计算在该交易内。
DocType: Delivery Trip,MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
DocType: Purchase Order,Customer Contact,客户联系人
DocType: Patient Appointment,Check availability,检查可用性
DocType: Retention Bonus,Bonus Payment Date,奖金支付日期
DocType: Employee,Job Applicant,求职者
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py +6,This is based on transactions against this Supplier. See timeline below for details,基于供应商的过往交易。详情请参阅表单下方日志记录
DocType: Manufacturing Settings,Overproduction Percentage For Work Order,最大允许超订单量入库百分比
DocType: Landed Cost Voucher,MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +332,Legal,法律
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +332,All Territories,所有区域
DocType: Shopify Settings,Sales Order Series,销售订单系统流水号
DocType: Vital Signs,Tongue,舌
apps/erpnext/erpnext/hr/utils.py +221,More than one selection for {0} not \			allowed,对{0}的多个选择不是\允许的
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +204,Actual type tax cannot be included in Item rate in row {0},实际税额不能包含在第{0}行的物料单价中
DocType: Allowed To Transact With,Allowed To Transact With,允许交易
DocType: Bank Guarantee,Customer,客户
DocType: Purchase Receipt Item,Required By,需求人
DocType: Delivery Note,Return Against Delivery Note,基于销售出货单退货
DocType: Asset Category,Finance Book Detail,账簿信息
DocType: Purchase Order,% Billed,已开票%
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +41,Exchange Rate must be same as {0} {1} ({2}),汇率必须一致{0} {1}（{2}）
DocType: Employee Tax Exemption Declaration,HRA Exemption,HRA免税
DocType: Sales Invoice,Customer Name,客户名称
DocType: Vehicle,Natural Gas,天然气
apps/erpnext/erpnext/setup/setup_wizard/operations/company_setup.py +64,Bank account cannot be named as {0},银行账户不能命名为{0}
DocType: Employee Tax Exemption Declaration,HRA as per Salary Structure,HRA根据薪资结构
DocType: Account,Heads (or groups) against which Accounting Entries are made and balances are maintained.,科目（组），用于会计凭证记帐以及计算其余额
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +197,Outstanding for {0} cannot be less than zero ({1}),未付{0}不能小于零（ {1} ）
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js +1581,Service Stop Date cannot be before Service Start Date,服务停止日期不能早于服务开始日期
DocType: Manufacturing Settings,Default 10 mins,默认为10分钟
DocType: Leave Type,Leave Type Name,休假类型名称
apps/erpnext/erpnext/templates/pages/projects.js +62,Show open,显示未完成
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +163,Series Updated Successfully,系统流水号已成功更新
apps/erpnext/erpnext/templates/includes/cart/cart_dropdown.html +6,Checkout,查看
apps/erpnext/erpnext/controllers/accounts_controller.py +770,{0} in row {1},{1}行中的{0}
DocType: Asset Finance Book,Depreciation Start Date,折旧开始日期
DocType: Pricing Rule,Apply On,应用于
DocType: Item Price,Multiple Item prices.,多个物料的价格。
,Purchase Order Items To Be Received,待收货采购订单物料
DocType: SMS Center,All Supplier Contact,所有供应商
DocType: Support Settings,Support Settings,售后支持设置
apps/erpnext/erpnext/projects/doctype/project/project.py +84,Expected End Date can not be less than Expected Start Date,预计结束日期不能小于预期开始日期
DocType: Amazon MWS Settings,Amazon MWS Settings,亚马逊MWS设置
apps/erpnext/erpnext/utilities/transaction_base.py +115,Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,行＃{0}：单价必须与{1}：{2}（{3} / {4}）相同
,Batch Item Expiry Status,物料批号到期状态
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +160,Bank Draft,银行汇票
DocType: Journal Entry,ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
DocType: Mode of Payment Account,Mode of Payment Account,付款方式默认科目
apps/erpnext/erpnext/config/healthcare.py +8,Consultation,会诊
DocType: Accounts Settings,Show Payment Schedule in Print,打印输出显示付款计划
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py +21,Sales and Returns,销售和退货
apps/erpnext/erpnext/stock/doctype/item/item.js +58,Show Variants,显示实物料号
DocType: Academic Term,Academic Term,学期
DocType: Employee Tax Exemption Sub Category,Employee Tax Exemption Sub Category,员工免税子类别
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +14,Material,物料
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +71,Making website,创建网站
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py +58,Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\			amount and previous claimed amount,员工{0}的福利已超过{1}，按有效天数折算的可用福利扣减已申报金额的总和{2}
DocType: Opening Invoice Creation Tool Item,Quantity,数量
,Customers Without Any Sales Transactions,没有任何销售交易的客户
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +590,Accounts table cannot be blank.,科目表不能为空。
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +164,Loans (Liabilities),借款（负债）
DocType: Patient Encounter,Encounter Time,看诊时间
DocType: Staffing Plan Detail,Total Estimated Cost,预计总成本
DocType: Employee Education,Year of Passing,毕业年份
DocType: Routing,Routing Name,工艺路线名称
DocType: Item,Country of Origin,原产国
DocType: Soil Texture,Soil Texture Criteria,土壤质地标准
apps/erpnext/erpnext/templates/includes/product_page.js +34,In Stock,库存
apps/erpnext/erpnext/public/js/utils/customer_quick_entry.js +16,Primary Contact Details,主要联系方式
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +46,Open Issues,未处理问题
DocType: Production Plan Item,Production Plan Item,生产计划项
apps/erpnext/erpnext/hr/doctype/employee/employee.py +159,User {0} is already assigned to Employee {1},用户{0}已经被分配给员工{1}
DocType: Lab Test Groups,Add new line,添加新行
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +31,Health Care,医疗保健
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +65,Delay in payment (Days),延迟支付（天）
DocType: Payment Terms Template Detail,Payment Terms Template Detail,付款条款模板信息
DocType: Hotel Room Reservation,Guest Name,客人姓名
DocType: Delivery Note,Issue Credit Note,发出退款单
DocType: Lab Prescription,Lab Prescription,实验室处方
,Delay Days,延迟天数
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py +26,Service Expense,服务费用
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py +1010,Serial Number: {0} is already referenced in Sales Invoice: {1},序号：{0}已在销售发票中引用：{1}
DocType: Bank Statement Transaction Invoice Item,Invoice,发票
DocType: Purchase Invoice Item,Item Weight Details,物料重量
DocType: Asset Maintenance Log,Periodicity,频率
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +21,Fiscal Year {0} is required,财年{0}是必需的
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +54,Supplier &gt; Supplier Group,供应商&gt;供应商组
DocType: Crop Cycle,The minimum distance between rows of plants for optimum growth,植株之间的最小距离，以获得最佳生长
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py +21,Defense,Defense
DocType: Salary Component,Abbr,缩写
DocType: Appraisal Goal,Score (0-5),得分（0-5）
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +257,Row {0}: {1} {2} does not match with {3},行{0}：{1} {2}不相匹配{3}
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py +78,Row # {0}:,行＃{0}：
DocType: Timesheet,Total Costing Amount,总成本
DocType: Delivery Note,Vehicle No,车辆编号
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +172,Please select Price List,请选择价格表
DocType: Accounts Settings,Currency Exchange Settings,外币汇率设置
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py +94,Row #{0}: Payment document is required to complete the trasaction,列＃{0}：付款单据才能完成trasaction
DocType: Work Order Operation,Work In Progress,在制品
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py +13,Please select date,请选择日期
DocType: Item Price,Minimum Qty ,最小数量
DocType: Finance Book,Finance Book,账簿
DocType: Patient Encounter,HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
DocType: Daily Work Summary Group,Holiday List,假期表
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py +115,Accountant,会计
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py +55,Selling Price List,销售价格表
DocType: Patient,Tobacco Current Use,当前吸烟情况
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py +62,Selling Rate,销售价
DocType: Cost Center,Stock User,仓管员
DocType: Soil Analysis,(Ca+Mg)/K,（钙+镁）/ K
DocType: Company,Phone No,电话号码
DocType: Delivery Trip,Initial Email Notification Sent,第一封电子邮件通知已发送
DocType: Bank Statement Settings,Statement Header Mapping,对帐单抬头对照关系
,Sales Partners Commission,销售合作伙伴佣金
DocType: Soil Texture,Sandy Clay Loam,桑迪粘土壤土
DocType: Purchase Invoice,Rounding Adjustment,舍入调整
